,Tenure
3140,4.433189
5490,62.16298
5631,61.84801
4518,4.457562
5531,58.64675
1654,14.5222363
8900,56.32657
174,7.34059599
4700,4.581601
2612,14.86158
935,1.740841699
8548,67.39326
9656,69.34207
6445,58.7814
1439,5.682395213
3283,14.66848
3637,10.45425
3785,1.124104
9469,54.20972
2072,6.799748
5215,46.778
3989,13.21976
5850,53.75074
7484,70.1758
571,20.01892414
3550,7.150962
8849,51.9647
9430,69.70761
5851,63.67009
6947,69.03568
5875,50.77685
5945,58.66502
2976,10.11079
1713,8.315973557
5520,62.85596
254,9.740709475
2308,2.130946
2552,7.990345
9216,53.27554
4402,2.637164
9511,62.28135
4413,6.92143
4543,22.05688
3337,4.043506
7559,52.07089
3201,4.525491
493,15.56741347
2937,12.05316
194,3.892407013
3860,14.36438
2287,5.596602
6895,60.11069
2763,13.09427
1443,7.840871292
9960,54.1338
6918,66.005
4900,15.35499
7674,65.13005
9613,62.29043
8459,46.66033
1310,3.685081574
4496,2.284487
2644,1.200106
5738,57.20095
4626,10.52104
4022,10.94068
9496,43.01015
4770,7.660409
8639,52.27228
83,14.34766616
5319,50.66574
1472,13.23888382
9724,57.99615
3894,28.2824
4827,5.976743
6697,40.731
9410,66.64969
807,8.360649713
9376,42.74967
8540,68.34963
449,1.715329149
3602,10.56737
3540,10.06945
6111,56.42112
3803,7.481549
2263,11.53977
6650,65.65204
3269,29.19298
1140,2.760208796
2340,13.24052
8181,71.023
4433,12.36516
5801,58.50278
371,8.498042024
2117,5.003409
6114,67.99357
8133,49.39534
8772,41.23951
6113,67.49275
8259,52.39253
4603,11.3031
153,3.260462654
3999,2.366635
4248,12.48694
3591,2.021619
5158,68.76541
2583,12.91538
2967,6.249599
1851,1.358818331
1519,15.54691331
2030,3.434965
7996,51.68157
787,2.831804349
4779,1.90586
9942,70.26711
9128,62.46483
5085,48.1707
589,3.113737885
6731,58.90864
4753,6.971587
3754,7.704545
7460,61.61486
4467,2.426747
8678,43.49892
8112,53.89174
6018,52.07024
9195,55.27092
2887,12.69289
357,2.810825808
7534,55.97115
2783,18.94429
1440,10.99225739
7707,61.67106
7730,70.43313
4193,3.479316
5151,52.61686
7958,62.77522
8067,67.98943
7809,52.53836
2843,27.0293
7901,40.32467
2328,15.91251
7750,56.45798
349,3.365552603
903,13.17849974
5969,68.37603
943,1.550579619
4472,11.42705
2582,22.34478
7310,51.62495
9328,44.73398
5442,49.96921
6523,60.09896
369,12.3492819
4852,5.695207
3537,7.281658
1551,5.836790126
5383,68.14471
5223,66.09922
8228,71.70793
6613,65.36263
6857,59.003
4010,4.541407
6186,70.80297
3264,12.7895
7316,49.92224
3992,15.91192
4730,14.86565
1629,4.882004458
9584,63.37652
1669,3.810228199
5497,49.30275
6342,66.99471
3085,7.733033
7062,61.079
8397,63.04815
9296,43.5742
7642,65.03892
4124,4.827032
5360,39.7266
6345,39.93768
3936,20.44277
895,3.505235526
1976,4.266309981
669,3.7013893
9620,59.7267
8477,67.60425
9100,66.70866
7921,63.87305
1748,15.08846657
8125,68.51142
8764,50.62244
5389,55.50904
3309,2.326806
5658,60.76709
9050,62.71074
8037,69.22859
925,4.245035615
8208,61.0537
2175,30.7698
7814,51.74735
3702,6.318781
7016,43.92326
9077,64.71742
1228,3.852627275
2190,4.836004
2202,26.74209
4075,2.558218
8931,66.77433
3175,12.05486
8355,51.41852
7228,60.76389
5548,66.91612
4374,1.849221
6894,64.95682
9951,48.82626
1947,21.6132385
462,13.99579075
2109,12.31839
6181,58.52876
5679,54.71778
2113,10.99952
1195,7.629294031
6994,48.91992
2343,1.835282
3184,13.51008
5116,53.61316
4860,6.275924
6175,66.98487
5247,59.99095
2481,7.42363
237,9.405224809
989,6.069124406
1191,6.691537735
9553,68.03445
9478,60.09935
7473,59.50705
9518,67.10378
8156,56.82842
5073,66.50929
9846,49.89893
2265,10.77918
5498,70.72564
416,6.417132666
9798,65.0829
93,19.75096265
114,13.12190056
5486,38.54459
8784,71.26615
4747,4.115815
9472,51.51251
7230,60.75202
6559,63.29423
3102,8.33073
1610,2.294386519
4057,12.35438
2930,5.656086
6144,66.95572
8130,71.44783
2310,12.77209
865,1.901532614
3937,7.626943
19,12.80615845
9604,65.18501
8871,65.87966
5120,64.37387
4330,3.656765
2151,6.03955
8053,66.78392
7012,54.53805
1663,21.87100089
7794,59.36326
7413,62.32227
8422,51.53345
7705,66.7755
5333,67.34157
8093,60.95525
5551,59.01535
2378,2.992589
2118,11.53174
4409,8.671709
826,3.831221517
9436,41.84938
5789,61.62652
9714,62.16781
1808,2.92969581
9049,63.00932
4947,4.171617
664,11.34954445
3079,8.922175
9303,60.36923
8470,60.04717
1771,7.217041327
7327,53.96674
5408,67.64041
68,12.24190682
5445,53.77634
8529,67.00862
3410,9.767357
8166,56.19179
278,5.104873611
8366,43.46156
5153,68.6711
2362,1.5183
8558,48.4017
8323,43.91274
7204,64.63609
2854,4.424083
8226,43.50453
5951,55.24695
8944,53.48684
1321,2.456217972
839,4.310152224
3006,13.46637
1563,23.27091932
2998,11.65333
4397,3.794103
3134,9.389883
7733,61.12405
957,16.66213522
2794,12.55315
8364,63.59872
2220,3.089663
1093,17.41856593
9822,53.90038
3474,6.460792
9619,64.90439
139,11.71637124
7246,63.09122
3053,11.31382
7660,68.41518
9887,60.9855
8703,69.80263
1555,8.460086502
8911,52.20049
8853,71.75497
922,14.31596419
9538,56.29659
8333,40.21109
9573,61.32712
4929,9.448515
8851,58.51928
4294,18.601
3713,4.548296
4131,6.63265
6955,43.84471
5947,52.54837
8254,63.86146
9754,65.71379
7978,60.96912
3450,4.165508
1643,12.30462572
1209,1.374911824
5160,49.26434
5205,71.76842
6612,63.27825
6934,65.86739
1903,3.56722345
753,11.14672304
4296,9.274687
5645,71.3084
945,14.63294721
7695,57.70698
937,4.906579535
9441,60.47912
8090,39.97152
7065,71.34241
4615,12.04581
6987,55.6096
7188,58.13955
1640,3.453443904
2590,12.173
8711,50.69797
186,8.08137067
9176,67.35833
8862,70.21916
1774,10.2452503
4836,7.579944
167,8.044444101
2734,13.81356
7492,53.07128
3680,13.59261
2545,2.917886
7597,62.47012
6184,70.98518
7963,58.58252
5437,65.44764
4983,16.60248
3222,13.31462
7904,70.02925
683,7.847288476
8647,47.29134
2919,3.109148
8321,45.62851
5495,63.42204
2257,1.4946
3129,2.048055
1677,6.864219377
484,1.033067819
3820,11.62388
801,4.612099351
4650,2.605757
6058,65.18605
4639,3.171487
2244,5.26283
4274,16.74543
7782,49.19922
6255,57.04917
4360,1.358678
6724,63.00385
761,1.754385394
9674,57.36298
10,19.26726194
4460,2.546083
9451,63.40014
677,5.506476096
6819,65.11023
5999,71.88705
551,7.793733508
6660,57.07682
7717,49.26352
7725,62.98803
924,14.44810037
6555,70.95714
6315,59.48902
1436,20.96098587
7167,63.96748
2303,13.71891
1095,7.172070851
7010,60.52344
9811,61.69069
9812,59.40963
9829,58.57706
5662,66.15315
852,4.784582646
7659,38.8517
4384,6.31339
9535,67.95509
7395,71.32292
7603,59.84762
2608,1.563383
6942,52.27007
5784,70.34319
3816,3.895892
9344,54.88836
326,22.8577804
5585,58.67143
6488,64.5515
417,18.61278731
3237,7.494128
4217,14.93552
3011,1.799293
7781,71.26299
1041,1.415346194
6027,46.80924
78,24.64873861
9677,54.17218
7535,61.16662
306,6.198230305
7593,70.85782
3969,15.37432
9890,60.5753
4361,2.222289
1293,4.269258862
6066,71.7248
8173,56.97428
3632,17.39814
3127,7.469813
8892,70.52668
5743,69.76805
5040,70.47897
4394,23.04458
818,10.26390461
9011,46.23456
1000,16.62593689
6126,56.736
550,5.915247686
1208,19.9235245
9933,64.55211
481,7.176411327
1952,21.1307851
4890,6.495239
1012,7.852675802
6513,54.26219
1315,9.141192423
1478,12.42216588
291,18.9537053
1529,17.0219219
8151,59.8036
6267,66.88132
6211,63.97947
9794,70.65475
2705,2.199825
3009,1.125218
8235,47.37824
3808,7.61586
2739,16.15139
5337,66.59235
1160,4.00803296
3455,23.08359
9079,49.7983
2135,7.658218
7989,68.04513
5235,71.52864
1046,4.486607929
9712,67.28651
9943,71.4959
3618,1.216309
4479,2.005733
2961,9.561875
6419,61.9981
8081,68.34459
3322,7.348682
1431,15.98515564
879,13.01023159
9540,60.64369
4823,4.054345
1183,17.70570806
3346,4.060006
4474,2.589118
9281,70.95851
3997,5.018901
3096,11.34636
890,6.471903209
8135,71.12548
185,3.521499924
3480,18.08688
8600,71.11137
4385,10.03914
6091,45.62317
657,7.29973843
8757,62.75391
7886,53.06052
4611,16.58054
4144,6.592291
8131,67.99043
353,7.825845378
1990,6.217715978
9237,66.68688
3231,8.539485
6053,48.02057
30,11.08287797
701,16.66441267
6135,60.15262
1729,6.027648047
9904,60.04825
9224,61.85144
3056,6.515297
7554,48.62124
8324,61.69408
277,23.103996
2150,5.099454
2201,4.028152
8769,71.13694
5254,55.81582
3673,2.277916
2775,23.99384
2528,5.585807
5621,60.87582
2568,13.43811
7520,61.6107
1811,1.884992328
8890,48.42652
7480,56.08228
7842,71.74549
5514,67.19559
5043,64.01652
5503,48.03427
6914,61.50384
238,12.84490034
6829,43.10629
3906,8.666281
3492,13.163
9363,48.90533
2036,7.231407
6988,70.82774
1245,9.323157168
7242,70.49801
3064,11.81853
5129,67.18331
6721,62.37748
6862,50.87987
8614,41.36314
222,10.28430068
4937,12.27603
7578,68.83185
5912,40.13259
8867,59.59171
6563,61.24602
3218,9.556572
4109,18.85404
7587,71.57202
6101,66.58949
2473,2.446064
3465,4.597088
9235,53.80104
5769,54.76926
5092,52.76082
5522,67.11808
4036,5.911652
614,3.795086086
5927,65.06381
6476,60.4218
887,9.195415365
2444,9.248419
7961,55.16171
5180,71.57982
17,2.303331273
9275,55.85553
1276,15.97494301
2061,13.63369
7320,71.27541
73,9.190009376
1219,23.32691904
8230,61.28236
5680,39.13842
9244,70.48211
749,22.39935475
1389,6.307898491
8145,54.55457
3901,13.72584
6277,69.50311
6503,54.68209
7540,56.74758
8374,59.48183
6128,58.6209
4481,5.364815
9899,71.54108
1509,4.909764597
9493,55.74944
6205,69.80788
4807,5.067354
2722,4.448953
7899,54.396
3154,7.194486
869,3.11643578
4192,4.109741
519,7.228526307
5462,70.4859
9673,65.42546
3976,9.104003
7240,56.68304
6700,51.58781
9611,70.18387
9785,64.39513
4881,2.223563
5230,46.33817
5724,57.65975
9649,47.56383
6804,71.27557
5308,54.7128
8379,56.64692
486,3.820262172
4643,20.91805
2176,12.43721
856,7.455148937
889,1.79772408
2755,8.612474
2085,17.08264
4715,9.260977
5128,70.52235
4149,10.573
7192,51.95009
2979,1.602966
5210,47.20955
6728,58.83979
9928,36.50778
654,2.451160296
5478,59.27489
548,22.76986341
6006,69.30257
282,3.778174405
7077,61.04909
6367,53.4946
7521,70.15014
3623,3.857792
1213,4.005780287
8282,52.58546
5717,47.40586
1018,4.319159918
5030,42.19555
9813,40.43984
4748,7.751707
7118,63.6037
1453,10.46452162
5438,68.65945
6424,64.53
6109,64.61204
1925,3.835182255
5217,71.03326
2882,22.24529
1747,6.403155881
4257,1.31809
7288,61.35337
4429,5.147213
5893,68.89551
7043,64.83209
3555,16.08074
1881,5.731198479
6487,55.09779
4796,7.295203
6659,50.47725
8455,67.39064
819,1.525343103
8512,67.06183
243,14.20349453
7775,41.93
4714,15.37459
463,13.44056701
4966,19.34604
9708,51.96957
1445,5.414586898
6971,55.83342
4919,4.64085
5765,52.29353
5577,59.86174
2341,9.584536
3274,2.327566
3614,1.364515
6736,69.32507
2096,5.66162
7096,55.93837
7164,63.69896
5507,57.08448
5366,62.10157
8214,67.68938
9322,71.26977
3916,2.348003
1109,4.611940238
3634,2.871903
8350,44.57297
9475,47.48699
4667,18.98342
7051,57.857
9564,59.8408
3312,15.3889
8760,36.28161
8295,54.73234
5119,69.86769
9978,59.33902
4067,16.53338
7601,50.09435
1366,3.187512279
7227,69.09962
1145,8.417226873
1522,2.689103558
7370,62.76856
7605,66.55543
2865,5.602813
3292,7.182107
7600,58.43075
4931,6.422331
639,4.065555679
920,12.81881129
4279,11.32392
4014,2.068518
6680,62.83586
5966,56.51994
6654,63.61158
2487,12.86551
5446,53.34625
6120,50.22175
2774,6.021823
3838,2.771756
6876,58.19535
8766,45.66396
8506,66.03662
9068,51.7077
3766,8.249394
9191,46.66704
3981,8.475773
6226,42.94126
3164,15.12639
3470,3.152098
1008,22.11524673
3161,11.96395
5114,58.16576
4357,23.55037
8073,47.3962
4326,6.246694
7025,69.70806
261,3.379756569
5098,70.33634
5664,54.8774
7833,71.5701
1325,4.44463064
7614,62.30113
9799,54.4197
3189,21.12911
3853,2.504861
5971,65.61605
7462,67.05692
4417,21.52164
7126,55.85956
7712,59.71984
6543,40.87895
8496,66.89948
4642,11.61194
9541,52.78581
5558,43.2487
5646,65.21792
648,6.90648504
8901,47.40118
8563,49.11866
9520,66.89696
5508,71.44192
6288,58.86869
329,11.10356439
2324,19.75809
5516,62.40564
3334,4.461349
6293,49.22663
8100,66.33852
531,10.81997919
8644,41.88419
4683,2.292165
5808,59.94889
5626,70.56358
1944,7.017918254
7815,67.16748
6989,70.03383
4699,16.37611
5471,57.81554
5991,47.94402
9517,54.89306
9939,62.32515
8850,64.56459
7959,48.98259
4081,11.76752
2596,10.02603
3559,9.298353
9676,64.28075
1714,1.515290738
3363,8.924108
9864,56.24607
5747,52.51777
1083,7.292787239
6183,70.67111
6374,66.07472
9148,46.04792
6070,48.79525
1544,2.701548767
2418,6.364903
6089,69.76328
1873,2.384942381
9726,66.42406
6154,59.81234
2726,10.22422
2697,1.989684
6769,42.34861
1829,4.499945782
7711,67.70719
2502,24.14282
8443,55.89461
555,7.604093453
5117,68.05033
1318,24.0737635
8458,56.26037
3996,26.06474
5283,65.36022
720,2.904448825
29,5.425864884
2822,4.845811
675,9.85591776
8199,52.11755
4051,4.839337
696,10.85959186
7880,49.59993
5063,70.34008
4630,6.974284
7433,47.57047
8247,45.92276
6615,43.20929
113,17.88002366
7304,62.64968
1931,2.48527604
8263,63.28052
8158,64.82387
6843,71.39564
451,3.470685398
6363,65.32231
7127,48.36269
2706,1.387769
5476,59.23589
4298,14.55246
7179,71.09119
2043,3.08799
1108,1.763317472
9174,63.71215
7950,69.18745
7039,56.37072
7536,61.68428
6816,60.06677
7221,59.94749
5995,62.38889
5013,66.89524
1304,15.59096202
3998,6.053801
4798,7.560138
3918,9.197686
2683,5.449246
9779,46.55588
8255,60.97619
6456,71.60926
8142,65.61856
711,11.84987964
2556,10.89683
2872,6.699323
7149,68.28597
8718,66.19707
3385,12.15758
3639,23.28091
8244,70.89738
949,4.905988692
1545,1.665089598
541,8.932053699
2710,4.243723
5419,66.09752
9392,50.67652
953,1.457335487
3029,17.2501
1546,16.68190528
6417,61.19826
241,12.00925702
733,6.050060777
8237,44.72241
8168,68.79253
6621,58.52409
460,9.461939857
1778,8.661116617
3298,2.645653
2957,7.773669
2681,5.874949
6391,63.28097
9505,53.37805
3326,1.786765
3952,3.08219
1769,2.661325529
9310,66.75755
8224,50.31252
3365,7.869508
6463,50.89196
6777,54.91727
1027,4.303849456
8535,68.11166
3204,3.878694
5435,58.32931
9265,45.94768
3967,4.198245
1267,22.71649048
4164,8.596278
1539,5.156329151
1547,1.934171569
8040,67.86978
2044,2.051002
6480,44.72714
2350,20.43277
3115,17.15829
6002,63.92945
383,17.6210362
4520,3.77596
5459,47.02878
5735,42.80596
9495,66.75045
1786,7.351090778
8211,60.78096
2104,13.0511
4272,28.31929
268,7.425503428
2652,4.812563
4320,1.11588
9861,51.85047
9513,48.24148
5538,66.17528
1752,13.84769517
7638,62.70376
3615,13.77358
5280,63.93531
8789,50.49273
9872,58.8745
3723,4.926111
3715,4.087832
9371,47.04565
8518,68.38161
1676,1.019306038
2508,27.4563
7105,44.13783
5332,53.77863
3813,2.398402
5619,53.27752
6734,66.43277
7573,48.05798
4631,19.6447
9681,46.24636
3228,10.71719
7403,57.08875
1693,7.387393996
4978,8.004483
7973,65.40394
2066,22.37984
4306,7.633263
2723,8.962034
7764,67.78586
783,5.84055678
5788,63.66434
9009,68.99606
2914,5.006746
508,1.534192133
5740,60.32779
5938,68.41303
9466,55.87308
554,11.40192641
1421,3.295993837
1738,14.93006551
7248,53.9154
2179,4.632153
4103,20.80434
209,11.96274778
8612,64.68179
991,6.240783682
242,2.861423443
8818,47.60481
7890,64.12593
2469,13.85176
2997,10.24306
5487,59.51288
7237,44.79742
788,9.322934248
878,18.66504433
2807,3.890319
2133,19.87069
5131,67.94243
2012,8.433722
9109,56.19141
4934,2.184299
7256,64.52906
7271,63.21638
6626,65.85442
9311,48.63086
1885,3.032321354
3938,2.326316
6993,69.39989
6998,70.69523
2029,7.178731
7469,48.53271
522,9.709171662
2177,6.739405
224,6.945736396
2846,8.0239
9589,65.00498
5298,63.77494
2529,16.81789
9982,68.52825
874,14.89720747
2082,12.47887
3016,6.971589
60,2.871017037
9612,67.50401
5181,40.35625
7000,66.37037
1313,7.442451151
9968,56.05929
2203,4.029419
1710,7.753271168
7261,44.52947
8562,62.77262
3273,10.70349
8619,65.19543
3789,2.555762
2361,11.14615
9131,65.81421
3490,15.36862
4321,5.126165
3895,4.72236
7303,49.26265
1306,8.034201127
967,5.566520625
4256,23.81965
6350,45.26675
7968,54.23761
1624,11.71117991
1637,6.955766017
2121,27.98865
2841,11.47008
2565,9.817033
736,4.803306414
8996,48.85809
6239,55.66379
3535,5.886852
6616,68.7415
4882,7.277274
672,13.80323806
6353,60.48709
5382,45.84265
9764,46.23966
24,5.770390256
9152,71.32593
596,13.70230727
429,16.52138638
2063,10.32943
626,3.041138012
5194,67.24501
2409,15.41637
121,4.799514433
8222,55.44991
310,9.915959247
2383,9.288851
9228,67.92751
8033,54.06378
661,16.67574291
8437,61.23692
1320,5.7018635
6866,65.55327
9431,40.8394
5468,65.26303
1612,4.753020774
8507,68.87713
9312,66.48285
4990,15.59169
1757,5.402712746
7692,60.45619
4222,4.192662
301,11.16903388
6207,51.63534
6984,66.76266
2505,5.585004
9204,59.20412
8402,43.93445
5854,54.24636
9094,66.82797
9698,44.92195
7662,66.97927
5663,68.76753
6539,62.09112
8160,57.66137
5056,62.9209
825,6.492246879
1475,10.404813
4030,1.115115
6174,56.37649
9366,59.13489
9769,65.03729
6302,63.00356
8116,63.71108
5279,70.30482
2500,3.627104
2948,8.681614
2929,21.53238
5937,58.27269
2139,3.362461
1628,7.00096668
4446,2.509742
126,4.627672042
4637,10.97775
5037,48.57163
3304,12.73703
247,12.73622643
6176,50.56974
5882,46.55404
7545,53.42523
8069,71.09348
6506,69.04134
3513,5.73054
6975,68.96214
7308,61.30659
2647,13.05373
5814,61.33886
7604,68.92748
5167,51.4346
8746,54.09544
6521,42.82228
7099,44.14519
2141,2.432366
9414,56.39145
4510,7.470963
4173,10.31681
6855,64.18445
3956,9.312768
6388,64.31881
6542,69.76806
9168,55.70433
4530,4.480346
8068,53.32394
8307,55.67421
6453,68.17558
616,3.484000437
1732,19.93726012
4617,1.76975
9041,68.75872
8547,61.9146
3732,24.94738
3727,13.07421
2636,16.12971
4808,6.386027
7888,62.55541
9467,67.41948
4943,3.595204
4686,11.5917
7896,50.54849
6644,61.79083
1560,9.267785326
9686,71.44364
1143,3.072369855
3876,12.7637
8412,64.15463
1497,5.497366828
3313,10.88204
4231,10.77389
863,5.240131023
4839,9.386672
9809,61.47977
7446,41.4761
9427,58.91402
1328,5.173463744
6712,61.76369
134,9.482919033
5601,60.99804
8268,69.56109
7829,64.22099
7083,66.85896
5357,68.72852
5096,55.34066
336,6.485034974
7315,63.7669
8050,67.56344
9940,50.14317
2601,8.437873
6108,55.42423
9694,43.19701
2927,11.16076
6640,64.92702
5956,66.32483
1356,11.73492964
4619,12.22703
2256,5.229738
3375,18.11168
1132,10.24058579
5423,61.50313
3792,10.92044
3613,2.368597
9465,63.55011
9069,66.00877
7496,66.66853
9957,71.71958
8225,66.12623
94,18.38404445
7440,58.79677
907,9.137809439
4424,1.970645
5751,64.12634
7416,70.77308
7625,71.16551
5182,66.13511
71,3.7311787
4191,23.40043
3359,1.034561
3153,7.930205
7720,54.16378
297,5.548652108
5835,64.12772
8855,62.5567
3598,8.642257
4599,2.886437
7878,56.98279
6369,46.30752
8088,47.94936
6358,69.32269
54,12.07970325
9920,57.46466
3021,2.80856
8702,48.14443
9630,64.00501
42,3.924254455
3090,4.24454
512,1.542556879
7832,68.28659
7004,70.24121
9002,62.13371
7342,66.60033
7283,55.69275
5204,63.74924
6926,42.93159
3409,5.750643
2149,5.29727
4310,14.69884
8777,62.52045
26,10.40566091
3145,7.713222
8642,58.65575
3137,19.92045
9900,50.88709
5253,67.55257
9871,64.02771
5431,57.31946
1893,18.7939759
7471,66.94354
3173,13.262
4241,4.816947
4462,1.871066
9690,48.07729
5294,66.91884
8066,60.49154
912,9.651065829
5709,66.00149
9936,52.07771
3594,12.62769
183,13.01107597
2858,14.40435
9380,56.40613
3010,6.548905
1441,1.550200335
1896,10.94833173
7762,61.41766
3620,5.638782
7136,71.11027
9067,60.3736
1023,8.846951024
1050,18.05033087
2091,6.86392
3911,13.04025
8726,70.33975
8819,68.47424
2911,3.583025
5059,62.43987
9272,62.44603
3807,9.147346
8959,69.72684
2672,17.26451
9828,47.45044
361,4.950398978
8501,49.22149
9023,48.84821
4183,9.175977
432,2.644787483
9245,52.68435
96,6.796299371
1412,2.495010749
3431,5.387532
7041,55.54569
4740,9.986348
5746,67.93006
1936,6.135854482
6693,64.33211
4438,10.42522
5633,46.30619
2735,7.923777
2859,4.300397
5355,54.07152
1121,3.147892285
7441,64.91269
6913,52.62406
7216,51.08527
7201,54.04994
5753,59.71663
9976,67.57609
9359,67.12189
4863,12.9765
7079,61.03116
1150,17.67252758
1967,7.98560378
4332,5.111561
5090,51.31462
8609,70.45931
9796,56.40122
3593,14.75827
1919,11.92905011
5334,52.42146
7598,71.36862
529,2.050742411
5845,59.21586
6657,48.26544
6949,62.96668
9477,61.54459
7681,58.34647
3383,2.543632
1327,5.696461819
2921,10.16511
1934,15.21980082
2138,9.37017
251,14.23487852
4129,2.847771
9610,64.05212
6332,69.27984
7045,63.25058
1104,15.40849216
2541,3.148665
7857,69.91714
759,6.248150471
5561,53.66219
8315,63.96787
2466,16.39747
7247,45.19194
1711,3.663316236
4805,13.74701
9750,68.08277
6013,60.52991
3476,10.89627
5727,50.42623
2076,7.978289
1221,15.82334026
190,1.408375942
1525,2.170567319
3329,3.555031
9278,63.90696
3481,8.369827
6045,47.34607
6194,66.57674
9234,66.03306
9142,59.84973
9320,68.02518
6024,55.20008
963,1.153881327
6203,65.38502
2861,9.693608
6755,65.14451
8104,59.9106
1574,2.722761372
7966,63.83787
2054,2.654262
8534,67.25716
3316,4.656535
8290,57.81039
9185,56.56921
6220,55.17028
293,5.201330266
2754,10.44767
5579,66.00861
3561,7.83307
9691,66.37599
560,9.306233406
9926,49.07033
5274,59.238
4118,12.64925
5946,57.94445
2664,10.59491
2209,1.445549
947,1.047382039
8202,44.97817
3332,8.442986
8888,66.35321
8147,43.51853
2293,3.180149
7936,58.50038
5133,68.00474
7061,68.3428
3583,16.03441
4490,21.72982
1510,19.43430735
6534,50.45458
4155,2.459304
9178,49.42466
5901,70.73486
8820,62.78883
4950,2.922427
9955,60.07253
7974,46.68593
4485,10.96384
9162,56.37162
6179,51.34296
3311,7.010649
6661,63.06198
7397,46.63035
8786,51.2129
5656,57.40724
2840,15.33274
6052,66.03293
3098,10.59517
9614,64.49478
7529,50.65407
4550,10.5771
7643,50.89092
1071,11.18792763
2693,4.888977
6074,50.46332
8264,63.01044
7015,65.89807
5072,68.22296
2160,12.09638
2332,8.970035
4158,17.62624
4492,3.592376
373,1.541545443
3266,6.465898
122,10.04672315
8893,71.64551
210,4.525864256
2004,7.976237
9458,54.72683
9064,62.23915
9051,68.59815
7458,61.46682
2863,10.8754
7668,71.25643
333,13.66061487
3306,4.189207
5943,69.67895
6841,68.53196
2611,2.333094
2907,16.25655
6484,70.2223
1902,2.389328443
1390,7.195646567
8163,57.43476
7884,51.08011
8561,58.47534
3390,1.668767
4069,4.736816
3444,1.776605
4640,1.817421
9186,56.54849
3034,18.24928
6788,66.92587
8640,71.53607
8091,64.87596
3109,6.725815
3616,4.415788
9874,67.9048
