,Gender_Nonbinary,Churn,Marital_Widowed,Port_modem,Population
6516,0,0,0,1,59
7383,0,0,0,1,61495
7180,0,0,0,1,5438
8346,0,0,0,1,43461
4523,0,1,0,0,9417
8361,0,0,0,1,5823
4789,0,0,0,0,393
2359,0,0,0,1,17242
6191,0,0,0,0,29743
4856,0,1,0,0,26659
4773,0,1,0,1,302
8738,0,0,0,0,1232
7646,1,0,0,0,360
9922,0,0,0,1,2806
7483,0,0,0,1,2088
6867,0,0,1,0,1325
4702,0,1,0,0,8419
718,0,1,0,0,736
7183,0,0,0,1,19415
7088,0,0,0,1,640
4366,0,1,0,1,0
2348,0,1,1,0,1756
6720,0,0,0,0,855
2356,0,0,0,0,1090
5105,0,0,0,0,10805
9481,0,0,0,1,714
1204,0,0,0,1,1444
300,1,0,1,1,20925
5149,0,0,1,0,6
201,0,1,1,1,1423
8000,0,0,0,0,6544
5770,0,0,1,1,4352
721,0,1,0,1,481
1722,0,1,0,1,3039
1180,0,0,0,1,18578
7609,0,0,0,0,6846
7721,0,0,1,1,2625
5469,0,0,0,1,2333
851,0,1,1,1,40337
6230,0,0,0,0,1616
2392,0,0,0,0,15062
9264,0,0,1,0,348
7354,0,1,1,0,39523
99,0,0,0,0,3324
8471,0,0,1,0,1416
1766,0,1,0,1,6871
1572,0,0,0,0,1907
2799,0,1,1,0,648
8123,0,0,0,0,11582
340,0,1,0,1,6910
410,0,1,1,0,18731
2463,0,0,0,1,10873
4837,0,1,1,0,2157
2015,0,1,0,1,9076
5786,0,0,1,1,7155
3140,0,0,0,1,1372
5490,0,0,0,1,3294
5631,0,0,0,0,7302
4518,0,1,1,0,1012
5531,0,0,0,1,233
1654,0,1,0,1,2270
8900,0,0,0,1,347
174,0,0,1,1,207
4700,0,1,0,1,2144
2612,0,0,0,1,39227
935,0,0,0,0,24416
8548,0,0,0,1,6956
9656,0,0,0,0,232
6445,0,0,0,0,18448
1439,0,0,0,0,678
3283,0,0,0,1,2408
3637,0,0,0,1,40837
3785,0,1,1,1,24092
9469,0,0,0,1,6335
2072,0,1,0,0,6257
5215,0,0,0,1,39012
3989,1,0,0,0,4037
5850,0,0,0,1,248
7484,0,0,1,0,7397
571,0,0,0,1,949
3550,0,0,0,0,3081
8849,0,0,0,0,37377
9430,0,0,0,1,25328
5851,1,0,0,1,3734
6947,0,0,0,0,1708
5875,0,0,0,0,32681
5945,0,0,0,0,3456
2976,0,0,0,1,3230
1713,0,1,0,1,8691
5520,0,1,0,1,8810
254,0,1,1,0,346
2308,0,1,1,1,40820
2552,0,1,0,1,8189
9216,0,0,0,0,0
4402,0,0,0,1,94
9511,0,0,0,1,46890
4413,0,0,0,0,736
4543,0,0,0,0,3632
3337,0,0,0,0,74971
7559,0,0,0,1,6454
3201,0,1,0,0,1203
493,0,0,0,0,8778
2937,0,0,0,1,19713
194,0,1,1,1,823
3860,0,0,0,1,5494
2287,0,1,0,1,5929
6895,0,0,0,1,504
2763,0,1,0,1,52454
1443,0,1,0,0,33
9960,0,0,0,0,875
6918,0,0,0,1,27618
4900,0,1,0,1,10395
7674,0,0,0,0,5211
9613,0,0,0,0,5590
8459,0,0,0,1,1106
1310,0,0,0,0,1416
4496,0,1,0,0,827
2644,0,1,0,0,1001
5738,0,0,0,0,26208
4626,0,1,0,0,10228
4022,1,0,1,0,1709
9496,0,0,0,1,671
4770,0,0,0,0,3590
8639,0,0,0,0,856
83,0,0,0,0,2863
5319,0,0,0,0,18184
1472,0,0,1,1,5803
9724,0,0,1,1,780
3894,0,0,0,1,1457
4827,0,1,0,1,431
6697,0,1,0,1,4637
9410,0,0,1,1,93
807,0,0,1,0,1024
9376,0,0,0,1,255
8540,0,0,1,1,11317
449,0,0,1,0,417
3602,0,1,0,0,75
3540,0,1,1,1,14645
6111,0,0,0,1,519
3803,1,0,0,1,95
2263,0,0,0,0,7284
6650,0,0,0,1,285
3269,0,0,0,1,988
1140,0,1,0,1,5819
2340,0,1,0,1,59
8181,0,0,0,1,2106
4433,0,0,0,1,516
5801,0,0,0,0,5237
371,0,0,0,1,740
2117,0,1,1,1,1906
6114,0,0,0,0,3245
8133,0,0,0,0,110
8772,0,0,1,0,16022
6113,0,0,0,0,2755
8259,0,0,0,0,3223
4603,0,0,0,1,624
153,0,1,0,1,6252
3999,0,0,0,1,1174
4248,0,1,0,0,6878
3591,0,0,0,0,279
5158,0,0,1,1,612
2583,0,1,0,1,56308
2967,0,0,0,0,322
1851,0,0,1,1,9957
1519,0,0,1,0,6932
2030,0,0,1,1,36184
7996,0,0,0,1,16425
787,0,0,0,1,24965
4779,0,0,0,0,46623
9942,0,0,0,1,13190
9128,0,0,1,0,1635
5085,1,0,0,1,8878
589,0,0,0,0,46581
6731,0,0,0,1,7058
4753,0,1,1,1,6569
3754,0,0,0,0,2810
7460,0,0,0,0,25948
4467,0,1,0,1,21462
8678,0,0,1,0,7738
8112,0,0,0,0,1319
6018,0,0,0,1,4
9195,0,0,0,1,7762
2887,0,0,0,1,1117
357,0,0,0,1,3241
7534,1,0,0,0,2000
2783,0,0,1,0,114
1440,0,1,0,0,20
7707,0,1,0,0,961
7730,0,0,1,0,38334
4193,0,1,0,1,726
5151,0,0,0,0,31196
7958,0,1,0,1,9427
8067,0,0,0,1,469
7809,0,0,0,0,2841
2843,0,1,0,0,2159
7901,0,0,1,0,1166
2328,0,1,0,1,254
7750,0,0,1,1,13736
349,0,1,0,1,307
903,0,0,1,1,9663
5969,0,0,1,0,2225
943,0,1,0,0,1397
4472,1,1,0,0,889
2582,0,0,0,1,19855
7310,0,0,1,0,25240
9328,0,0,0,0,21184
5442,0,0,0,1,2690
6523,0,0,1,1,48713
369,0,1,0,1,10237
4852,0,1,0,0,7252
3537,0,0,0,1,51
1551,0,0,0,0,11910
5383,0,0,0,0,369
5223,0,0,0,1,287
8228,0,0,0,0,505
6613,0,0,0,0,2605
6857,0,0,0,1,295
4010,0,1,0,0,83
6186,0,0,1,0,232
3264,0,1,0,1,12749
7316,0,0,1,0,3015
3992,0,1,0,0,6464
4730,0,0,0,1,39698
1629,0,0,0,0,1295
9584,0,0,0,1,353
1669,0,0,0,0,4326
5497,0,1,0,1,164
6342,0,0,0,1,7762
3085,0,1,0,1,40649
7062,0,0,1,0,3812
8397,0,0,0,1,4522
9296,0,0,0,1,15728
7642,0,0,0,1,1154
4124,0,0,0,1,164
5360,0,0,0,1,23191
6345,0,0,0,1,4825
3936,0,0,0,0,257
895,0,0,1,0,5935
1976,0,1,0,0,39842
669,0,0,0,0,12709
9620,0,0,1,1,9391
8477,0,0,1,1,17808
9100,0,0,0,1,258
7921,0,0,1,1,40248
1748,0,1,0,1,117
8125,0,0,0,0,7350
8764,0,0,0,0,11195
5389,0,0,0,0,29942
3309,0,0,1,0,1521
5658,0,0,0,0,41204
9050,0,0,0,1,40131
8037,0,0,0,0,42463
925,0,1,0,1,4292
8208,0,0,0,0,2454
2175,0,0,0,1,35349
7814,0,0,0,1,650
3702,0,1,0,1,7169
7016,0,0,1,1,9575
9077,0,0,1,1,22947
1228,0,0,0,0,423
2190,0,1,1,0,13245
2202,0,1,0,0,266
4075,0,1,0,1,50640
8931,0,0,0,1,0
3175,0,1,0,1,6443
8355,0,0,0,0,9399
7228,0,0,0,0,2753
5548,0,0,1,1,19146
4374,0,1,0,1,15129
6894,0,0,0,0,1554
9951,0,0,0,1,2931
1947,0,0,1,0,1716
462,0,1,1,1,714
2109,0,1,0,1,2028
6181,0,0,0,0,235
5679,0,0,0,1,2267
2113,0,1,0,1,8409
1195,0,1,0,0,39088
6994,0,0,0,0,543
2343,1,1,0,1,12
3184,0,0,0,0,12846
5116,0,0,1,0,20306
4860,0,0,0,1,5316
6175,0,0,0,1,7398
5247,0,0,0,0,737
2481,0,0,0,1,332
237,0,1,0,0,1083
989,0,0,1,0,22738
1191,0,0,0,1,66531
9553,0,0,0,0,106
9478,0,0,0,1,4177
7473,0,0,0,1,21607
9518,0,0,0,1,499
8156,0,1,0,1,346
5073,0,0,1,0,338
9846,0,0,1,1,588
2265,0,1,0,1,947
5498,0,0,0,0,1380
416,0,0,0,0,23666
9798,0,0,1,0,588
93,0,1,0,1,14479
114,0,1,0,0,1012
5486,0,0,0,0,5012
8784,0,0,0,0,680
4747,0,0,0,0,809
9472,0,0,0,1,496
7230,0,0,0,1,1451
6559,0,1,0,1,581
3102,0,0,0,0,23590
1610,0,0,0,0,1061
4057,0,0,0,1,6457
2930,0,1,0,1,11595
6144,0,0,0,1,94
8130,0,0,0,0,96436
2310,0,1,1,1,72592
865,0,1,0,1,19936
3937,0,1,0,0,1306
19,0,1,0,1,3177
9604,0,0,0,1,19650
8871,0,0,0,1,480
5120,0,0,0,1,28929
4330,0,1,0,1,24475
2151,0,0,1,0,1347
8053,0,0,0,0,210
7012,0,0,0,1,32269
1663,0,0,0,1,19522
7794,0,0,0,1,4447
7413,0,0,0,1,444
8422,0,0,1,0,3353
7705,0,0,1,1,2871
5333,0,0,0,1,376
8093,0,0,0,0,14684
5551,0,0,1,1,80489
2378,0,1,0,1,27525
2118,0,1,0,1,3316
4409,0,1,0,1,443
826,0,1,1,1,845
9436,0,0,1,0,4308
5789,0,0,1,1,1195
9714,0,1,1,0,300
1808,0,0,0,0,7156
9049,0,1,0,0,30746
4947,0,1,1,0,9998
664,0,1,0,1,418
3079,0,0,0,0,9974
9303,0,0,1,1,1375
8470,0,0,0,1,1397
1771,0,1,0,1,3521
7327,0,0,0,1,46041
5408,0,0,0,0,12449
68,0,0,0,1,7801
5445,0,0,0,0,341
8529,0,0,0,0,7772
3410,0,0,0,1,3251
8166,0,0,1,0,200
278,0,1,0,1,671
8366,0,0,0,1,6833
5153,0,0,1,1,5429
2362,0,0,0,1,3410
8558,0,0,0,0,10550
8323,0,0,0,1,2917
7204,0,0,1,1,515
2854,0,1,0,0,22127
8226,0,0,0,0,1679
5951,0,0,0,1,4465
8944,0,0,0,0,42868
1321,0,1,0,1,26320
839,0,0,1,1,0
3006,0,1,0,1,7511
1563,0,0,0,1,12096
2998,0,0,1,1,41523
4397,0,0,0,1,1132
3134,0,1,0,1,6067
7733,0,0,0,0,2757
957,0,1,0,1,8854
2794,0,1,1,1,22201
8364,0,0,0,1,5402
2220,0,0,1,1,21888
1093,0,0,0,1,2377
9822,0,0,0,1,3064
3474,0,0,0,1,865
9619,0,0,0,0,35799
139,0,1,0,0,1076
7246,0,1,0,0,1045
3053,0,0,1,1,80555
7660,0,0,0,0,180
9887,0,0,0,0,484
8703,0,0,0,1,17243
1555,0,1,1,0,1851
8911,0,0,0,0,5015
8853,0,0,1,0,5762
922,0,0,0,1,2475
9538,0,0,1,1,1015
8333,0,1,0,0,14659
9573,0,0,0,0,13487
4929,0,0,0,0,2886
8851,0,0,0,1,29490
4294,0,1,0,1,13229
3713,0,1,0,1,463
4131,0,0,0,0,404
6955,0,0,1,0,2350
5947,0,0,0,1,77
8254,0,0,0,1,1081
9754,0,0,0,0,984
7978,0,0,0,1,243
3450,0,1,0,1,6988
1643,0,1,0,0,570
1209,0,1,0,0,702
5160,0,1,0,1,6507
5205,0,0,0,0,14210
6612,1,0,0,1,429
6934,0,0,1,1,81
1903,0,0,0,1,544
753,1,0,0,1,23078
4296,0,0,0,0,5449
5645,0,0,1,0,1814
945,0,1,0,1,1769
7695,0,0,0,1,1325
937,0,0,0,0,321
9441,0,0,1,0,0
8090,0,0,0,0,158
7065,0,0,0,0,14970
4615,0,1,0,0,25328
6987,0,0,0,0,1074
7188,0,0,0,1,11147
1640,0,1,0,1,591
2590,0,1,0,1,782
8711,0,0,1,0,338
186,0,0,0,0,3151
9176,0,0,1,0,41600
8862,0,0,0,0,13
1774,0,0,0,0,35591
4836,0,1,0,0,5646
167,0,1,0,1,377
2734,0,0,0,0,10821
7492,0,0,0,0,106
3680,0,0,1,1,5438
2545,0,1,0,1,7552
7597,0,0,0,1,130
6184,0,0,1,0,11601
7963,0,0,1,1,4622
5437,0,0,0,1,5012
4983,0,0,0,0,2349
3222,0,1,1,0,27734
7904,0,0,0,1,28508
683,0,0,0,1,26601
8647,0,0,0,0,6454
2919,0,0,0,1,1075
8321,0,0,0,0,18074
5495,0,0,0,0,37080
2257,0,1,1,0,5090
3129,0,1,0,1,14790
1677,0,0,1,0,10818
484,0,1,0,1,1920
3820,0,1,0,1,26893
801,0,1,0,0,31819
4650,0,1,0,1,11634
6058,0,0,0,0,34784
4639,0,1,0,1,15
2244,0,0,0,1,123
4274,0,0,0,1,3867
7782,0,0,0,0,1708
6255,0,0,0,1,26401
4360,0,1,0,0,4976
6724,0,0,0,0,6900
761,0,0,0,0,13156
9674,0,0,0,0,38659
10,0,0,0,0,555
4460,0,0,0,1,589
9451,0,0,1,1,1748
677,0,0,0,0,18617
6819,0,0,0,0,2454
5999,0,0,0,1,25248
551,0,0,0,1,219
6660,0,0,0,1,35107
7717,0,0,0,0,1724
7725,0,0,0,0,16171
924,0,0,1,0,200
6555,0,0,0,0,3410
6315,0,0,0,0,1612
1436,0,0,0,0,2274
7167,0,0,1,0,5553
2303,0,1,0,0,570
1095,0,0,0,0,3089
7010,0,0,0,0,163
9811,0,0,0,1,5409
9812,0,0,0,0,6030
9829,0,0,1,0,3481
5662,0,0,0,0,194
852,0,1,0,1,3052
7659,0,0,0,0,1114
4384,0,1,0,0,10552
9535,0,0,0,1,6213
7395,0,0,0,0,827
7603,0,0,1,0,3353
2608,0,0,1,1,10980
6942,0,0,0,0,942
5784,0,0,0,0,4613
3816,0,1,1,0,7004
9344,0,1,1,1,41600
326,0,1,1,0,312
5585,0,0,0,0,2432
6488,0,0,0,0,2725
417,0,0,0,1,20
3237,0,0,0,1,45
4217,0,0,0,1,16592
3011,0,0,0,1,18090
7781,0,0,0,0,400
1041,0,1,0,1,7453
6027,0,0,0,1,33
78,0,1,0,0,273
9677,0,0,0,1,66
7535,0,0,0,0,2472
306,0,0,0,1,604
7593,0,0,0,1,2892
3969,0,0,0,1,36409
9890,0,0,0,1,32477
4361,0,1,0,1,569
1293,0,0,0,1,17907
6066,0,0,0,1,1179
8173,0,0,0,1,505
3632,0,0,0,1,2623
3127,0,0,0,0,61045
8892,0,0,1,1,551
5743,0,0,0,1,17484
5040,0,0,0,0,1098
4394,0,0,0,1,843
818,0,0,0,0,1372
9011,0,0,0,1,999
1000,0,1,1,1,16515
6126,0,0,1,1,6772
550,0,1,0,1,212
1208,0,0,0,1,63
9933,0,0,0,0,16548
481,0,1,0,1,517
1952,0,0,0,0,566
4890,0,1,0,0,5303
1012,0,0,0,0,1078
6513,0,0,0,0,1289
1315,0,0,0,1,86
1478,0,1,1,1,8538
291,0,0,0,0,61045
1529,0,0,0,1,1227
8151,0,0,0,0,5490
6267,0,0,0,0,13017
6211,0,0,0,0,85
9794,0,0,0,0,22825
2705,0,1,0,1,7362
3009,0,0,1,1,1131
8235,0,0,0,0,5058
3808,0,1,0,0,1747
2739,0,1,0,0,4004
5337,0,0,0,0,1271
1160,0,1,1,1,14269
3455,0,0,0,1,62382
9079,0,0,1,0,7941
2135,0,1,0,0,418
7989,0,0,1,1,4354
5235,0,0,1,0,2093
1046,0,0,0,1,4793
9712,0,0,1,0,705
9943,0,0,0,0,1589
3618,0,0,1,1,19097
4479,0,1,0,0,15
2961,0,0,0,1,2387
6419,0,0,0,1,3576
8081,0,0,1,0,28576
3322,0,1,0,0,59556
1431,0,0,0,1,6292
879,0,1,0,0,469
9540,0,0,1,1,1145
4823,0,0,0,1,21212
1183,0,0,1,1,1602
3346,0,1,1,0,696
4474,0,1,0,0,13719
9281,0,0,1,0,2178
3997,0,0,0,0,270
3096,1,0,0,1,236
890,0,0,0,1,33725
8135,0,0,0,1,12683
185,0,0,1,1,10482
3480,0,0,0,0,49271
8600,0,0,0,0,5089
4385,0,0,0,1,10232
6091,0,1,0,0,800
657,0,0,0,1,27790
8757,0,0,0,0,60476
7886,0,0,0,0,4066
4611,0,1,1,0,30076
4144,0,0,0,0,24
8131,0,0,0,1,3709
353,0,1,0,0,17007
1990,0,1,0,0,1241
9237,0,1,1,0,25091
3231,0,1,0,1,332
6053,0,0,0,1,18625
30,0,0,0,1,11268
701,0,0,0,1,1651
6135,0,0,1,1,37906
1729,0,1,0,0,1897
9904,0,0,0,1,2723
9224,0,0,1,1,14523
3056,0,1,0,0,815
7554,0,0,1,1,19443
8324,0,0,0,1,64
277,0,0,0,1,25764
2150,0,1,1,1,8304
2201,0,0,0,0,41468
8769,0,0,0,1,158
5254,0,0,1,1,224
3673,0,0,0,1,18518
2775,0,0,0,0,151
2528,0,0,1,0,548
5621,0,0,0,1,31102
2568,0,1,0,1,1121
7520,0,0,0,1,1002
1811,0,1,0,0,9635
8890,0,0,0,0,26325
7480,0,0,1,0,9103
7842,0,0,0,0,1024
5514,0,0,0,1,352
5043,0,0,1,1,578
5503,0,0,1,0,312
6914,0,0,0,1,7842
238,0,0,0,1,15604
6829,0,0,1,1,684
3906,0,0,1,0,9496
3492,0,1,0,1,1677
9363,0,0,0,1,22766
2036,0,1,0,1,16405
6988,0,0,0,0,4710
1245,0,1,0,0,25744
7242,0,0,0,1,253
3064,0,0,0,0,11722
5129,0,0,0,1,6206
6721,0,0,1,1,5284
6862,0,0,0,0,466
8614,0,0,0,0,2377
222,0,1,0,1,8770
4937,0,0,0,1,0
7578,0,0,0,1,78900
5912,0,1,0,1,14990
8867,0,0,0,0,6438
6563,0,0,0,1,3058
3218,0,1,0,1,76177
4109,0,0,0,1,2669
7587,0,0,0,0,52254
6101,0,0,1,1,34
2473,0,1,0,1,54023
3465,0,0,0,1,7190
9235,0,0,0,1,304
5769,0,0,0,0,1676
5092,0,0,0,1,3225
5522,0,0,0,1,719
4036,0,0,0,1,36489
614,0,1,0,1,1178
5927,0,0,1,1,484
6476,0,0,0,0,25178
887,0,1,0,0,3543
2444,0,1,0,1,6428
7961,0,0,0,0,1251
5180,0,0,0,1,10951
17,0,1,0,0,7249
9275,0,0,0,1,4390
1276,0,0,1,1,14393
2061,0,0,0,0,43116
7320,0,0,0,0,3074
73,0,1,0,1,61
1219,0,1,0,0,82
8230,0,0,0,0,135
5680,0,0,0,1,5869
9244,0,0,0,1,16974
749,0,0,1,0,12853
1389,0,0,0,0,1543
8145,0,0,0,1,30010
3901,0,0,0,1,2201
6277,0,0,0,0,10429
6503,0,0,0,1,8525
7540,0,0,1,1,458
8374,0,0,0,0,853
6128,0,0,1,1,391
4481,0,1,1,1,4075
9899,0,0,0,0,628
1509,0,0,0,1,2370
9493,0,0,0,1,57226
6205,0,0,1,1,338
4807,0,1,0,0,26545
2722,0,0,0,0,3141
7899,0,0,0,1,33551
3154,0,0,0,1,22356
869,0,0,1,0,51582
4192,1,0,0,1,4970
519,0,1,0,0,508
5462,0,0,0,0,5882
9673,0,0,0,1,1574
3976,0,1,0,1,1605
7240,0,0,0,0,212
6700,0,0,1,0,29279
9611,0,0,0,1,342
9785,0,0,1,1,46890
4881,0,1,1,0,2315
5230,0,0,1,0,17208
5724,0,0,1,1,1434
9649,0,0,0,1,23858
6804,0,0,0,0,5659
5308,0,0,0,0,192
8379,0,0,0,1,2025
486,0,1,0,1,2694
4643,0,1,0,1,12449
2176,0,0,0,1,4868
856,0,1,0,0,249
889,0,1,0,1,650
2755,0,1,1,1,672
2085,0,1,1,1,1772
4715,0,0,0,0,2856
5128,0,0,0,1,1948
4149,0,0,0,0,33760
7192,0,0,0,0,148
2979,0,0,0,0,41861
5210,0,0,0,1,257
6728,0,0,0,1,1669
9928,0,0,0,1,173
654,0,1,0,1,2465
5478,0,0,0,1,28558
548,0,1,0,1,1165
6006,0,0,0,0,12727
282,0,1,0,0,545
7077,0,0,0,0,21202
6367,1,0,0,0,883
7521,0,0,0,1,5465
3623,0,0,0,0,46875
1213,0,1,0,1,2467
8282,0,0,1,0,14555
5717,0,0,0,0,2387
1018,0,1,0,0,204
5030,0,0,0,1,49
9813,0,0,0,1,2484
4748,0,0,0,0,0
7118,0,1,0,1,3730
1453,0,0,0,0,2106
5438,0,0,0,1,15882
6424,0,0,0,1,6304
6109,0,0,1,0,1177
1925,0,0,0,1,658
5217,0,0,0,0,902
2882,0,0,0,1,3739
1747,0,1,1,0,34308
4257,0,1,0,1,5450
7288,0,0,0,1,5123
4429,0,1,0,0,16974
5893,0,0,1,1,26999
7043,0,0,0,0,16079
3555,0,1,1,1,1045
1881,0,0,1,1,12911
6487,0,0,0,1,2123
4796,0,0,0,0,66056
6659,0,1,1,0,577
8455,0,0,0,0,984
819,0,1,0,0,11561
8512,0,0,0,1,18533
243,0,1,1,0,13
7775,0,0,0,0,1028
4714,0,0,0,0,92
463,0,0,0,0,31791
4966,0,1,0,1,547
9708,0,0,0,0,1120
1445,0,0,0,1,3334
6971,0,0,0,1,31331
4919,0,1,0,0,18575
5765,0,1,1,1,1286
5577,0,0,0,0,772
2341,0,1,0,1,671
3274,0,1,0,1,642
3614,0,1,1,0,4390
6736,0,0,0,1,13977
2096,0,1,0,1,12153
7096,0,0,1,0,521
7164,0,0,1,1,873
5507,0,0,0,1,34506
5366,0,0,0,0,3592
8214,0,0,0,1,17783
9322,0,0,0,1,782
3916,0,0,0,1,32739
1109,0,1,0,0,574
3634,0,1,0,0,16079
8350,0,0,0,0,843
9475,0,1,0,1,323
4667,0,1,0,1,460
7051,0,0,1,0,253
9564,0,0,0,0,29414
3312,0,1,1,0,1163
8760,0,1,0,0,31251
8295,0,0,1,0,949
5119,0,0,0,1,4779
9978,0,0,0,0,656
4067,0,1,0,0,345
7601,0,0,0,0,16382
1366,0,1,0,0,5143
7227,0,0,1,1,2781
1145,0,0,0,0,2217
1522,0,1,0,0,3208
7370,0,0,0,1,4709
7605,0,0,0,1,639
2865,0,0,0,0,5622
3292,0,1,0,1,35087
7600,0,0,1,0,3263
4931,0,1,0,0,1394
639,0,1,0,1,2348
920,0,1,0,0,271
4279,0,0,0,1,642
4014,0,0,0,0,2153
6680,0,0,0,0,1104
5966,0,0,0,0,371
6654,0,0,0,1,38957
2487,0,1,0,1,2701
5446,0,0,0,0,2481
6120,0,0,0,0,3370
2774,0,0,0,0,1702
3838,0,1,0,1,1402
6876,0,0,1,1,2540
8766,0,0,0,0,1537
8506,0,0,0,1,42910
9068,0,0,0,0,2653
3766,0,1,0,0,4228
9191,0,0,0,0,22811
3981,0,0,1,1,2703
6226,0,1,0,1,13489
3164,0,1,1,1,33240
3470,0,1,1,0,1142
1008,0,0,0,1,2043
3161,0,0,0,1,10011
5114,0,0,0,0,7404
4357,0,0,1,1,1988
8073,0,0,0,1,393
4326,0,0,0,0,35523
7025,0,0,0,0,1349
261,0,1,1,1,4
5098,0,0,0,0,1725
5664,0,0,0,0,630
7833,0,0,0,1,1626
1325,0,0,0,0,834
7614,0,0,1,0,332
9799,0,0,0,1,7638
3189,0,1,0,0,6295
3853,0,1,1,0,315
5971,0,0,0,0,3620
7462,0,0,0,0,21156
4417,1,0,0,0,14802
7126,0,0,0,1,1718
7712,0,0,0,1,4858
6543,1,0,0,0,34488
8496,0,0,0,0,4924
4642,0,1,0,1,0
9541,0,0,0,0,15787
5558,0,0,0,1,31371
5646,0,0,0,1,2440
648,0,0,0,0,1437
8901,0,0,0,1,38659
8563,0,1,0,1,1694
9520,0,0,1,0,5706
5508,0,0,0,0,27946
6288,0,0,0,0,102433
329,0,1,0,1,26381
2324,0,0,1,0,38932
